host,id_resp_h,id_resp_p,id_orig_h
pico.eset.com,38.90.226.36,80,fakeip1
weather.service.msn.com,104.69.219.202,80,fakeip1
ovsyndication.kicker.de,52.85.132.58,80,fakeip1
forefrontdl.microsoft.com,23.221.72.33,80,fakeip3
syzs.qq.com,129.226.103.140,80,fakeip3
www.centralll.com,104.18.186.242,80,fakeip1
uploads.engagephd.com,104.239.186.96,80,fakeip1
xml.shoptowin.net,69.162.80.57,80,fakeip3
www.xilinx.com,104.112.36.219,80,fakeip2
15dfjkbvdf.club,188.72.236.136,80,fakeip2
tracker.tambovnet.org,94.19.162.211,80,fakeip3
st.dabaraw.com,34.196.81.124,80,fakeip2
vibsdepot.hpe.com,15.249.152.85,80,fakeip2
wx.huion.cn,47.96.81.96,80,fakeip1
autodiscover.darden44.onmicrosoft.com,52.96.90.40,80,fakeip1
helpdubaclient.ksmobile.com,111.230.117.40,80,fakeip2
cdn-file.ludashi.com,58.218.203.241,80,fakeip2
clientconfig.akamai.steamstatic.com,23.221.75.177,80,fakeip1
d3h5bk8iotgjvw.cloudfront.net,52.85.132.8,80,fakeip2
cont-1.p-cdn.us,208.85.42.32,80,fakeip1
onmyoji.fp.ps.netease.com,157.185.177.205,80,fakeip3
dl2.acronis.com,69.20.59.73,80,fakeip2
sgminorshort.wechat.com,101.32.133.53,80,fakeip3
activation.vectorworks.net,54.83.234.161,80,fakeip3
mirror.pnl.gov,192.101.102.2,80,fakeip1
rss.msnbc.msn.com,13.82.28.61,80,fakeip1
static.monosnap.com,172.67.10.192,80,fakeip2
diskapi.baidu.com,111.206.209.80,80,fakeip2
vsuite.omnicell.com,205.140.221.32,80,fakeip3
mlb.am,34.102.169.19,80,fakeip3
tracker.lelux.fi,95.217.161.135,80,fakeip3
server.livingearthapp.com,96.126.119.160,80,fakeip1
upgrade.actiontec.com,167.71.154.128,80,fakeip1
iBoot.co,154.127.54.46,80,fakeip3
gmaapi.365retailmarkets.com,44.236.215.95,80,fakeip2
todolist.redirect.xzdesktop.cqttech.com,106.14.21.193,80,fakeip1
mirror.ette.biz,38.105.93.109,80,fakeip3
cnzz.mmstat.com,198.11.132.221,80,fakeip3
primary.hls-streaming.production.streaming.siriusxm.com,23.221.75.153,80,fakeip1
a1trjju9lgpi83-ats.iot.us-east-1.amazonaws.com,45.136.240.225,443,fakeip3
www.msnbc.msn.com,13.82.28.61,80,fakeip1
kindle-time.amazon.com,176.32.98.203,80,fakeip1
duba-defend.zhhainiao.com,218.12.76.163,80,fakeip3
google.com,208.87.234.202,8081,fakeip3
task.browser.360.cn,36.110.235.8,80,fakeip2
img2.chinadaily.com.cn,157.185.146.132,80,fakeip2
http.00.h.sophosxl.net,3.222.35.82,80,fakeip2
api.wunderground.com,104.106.9.181,80,fakeip1
ical-cdn.teamsnap.com,104.16.114.12,80,fakeip1
tconf2.f.360.cn,1.192.193.117,80,fakeip3
push.khd.2345.cc,221.228.75.123,80,fakeip1
ncps-va.powerschool.com,45.60.12.165,80,fakeip2
optsdk.gameyw.netease.com,52.77.123.80,80,fakeip3
dlassets.xboxlive.com,23.221.72.51,80,fakeip3
feed2ical.appspot.com,172.217.2.116,80,fakeip3
cdn.ap.bittorrent.com,69.28.157.216,80,fakeip1
r3---sn-p5qs7nsk.gvt1.com,74.125.155.136,80,fakeip3
astat.bugly.qq.com,203.205.219.244,8011,fakeip1
www.horosproject.org,52.52.60.36,80,fakeip2
speedtest-zion.fireflyva.com,205.220.232.141,8080,fakeip1
gfwsl.geforce.com,152.195.53.31,80,fakeip2
www.bricksball.com,3.133.107.204,80,fakeip2
mirror.datto.com,162.244.87.58,80,fakeip3
110.43.89.12,110.43.89.12,80,fakeip3
switch1.pcfg.cache.wpscdn.com,47.246.44.229,80,fakeip1
d.skconf.f.360.cn,180.163.230.211,80,fakeip2
api.winzip.com,34.206.49.201,80,fakeip1
pubmirror1.math.uh.edu,129.7.128.189,80,fakeip1
yum.puppetlabs.com,13.32.181.77,80,fakeip3
ad.adsrvr.org,99.84.218.36,80,fakeip3
104.192.108.134,104.192.108.134,80,fakeip2
mirrors.rit.edu,129.21.171.72,80,fakeip1
ps1.es.net,198.128.151.17,8096,fakeip1
ip-info.ff.avast.com,5.62.44.238,80,fakeip1
annals.org,104.21.19.167,80,fakeip1
config.teams.microsoft.com,104.129.195.18,443,fakeip1
t1-5.p-cdn.us,208.85.42.21,80,fakeip2
wdl1.pcfg.cache.wpscdn.com,35.241.26.54,80,fakeip3
img1.pcfg.cache.wpscdn.cn,58.215.158.238,80,fakeip3
qbwup.imtt.qq.com,203.205.219.54,80,fakeip1
imasdk.googleapis.com,172.217.5.234,80,fakeip2
203.205.219.244,203.205.219.244,80,fakeip2
ensight.bondtech.com,147.0.119.147,80,fakeip3
prnewswire.d2.sc.omtrdc.net,18.206.109.10,80,fakeip1
li.wayfair.com,23.221.75.154,80,fakeip1
104.104.90.50,104.104.90.50,80,fakeip2
ocsp.geotrust.com,23.54.187.27,80,fakeip2
v4.ipv6-test.com,51.75.78.103,80,fakeip2
search.nejm.org,99.86.186.18,80,fakeip3
edge.quantserve.com,192.184.68.216,80,fakeip1
lolesports.com,99.84.98.54,80,fakeip1
ts.minipage.2345.cc,180.163.56.219,80,fakeip1
repos.forethought.net,206.124.13.171,80,fakeip3
uapi.mp.360.cn,180.163.249.53,80,fakeip3
print-screen.us,52.218.204.243,80,fakeip3
x8960797.iavs9x.avg.u.avcdn.net,23.221.72.43,80,fakeip3
siteimproveanalytics.com,172.64.172.12,80,fakeip3
www.gamepk.us,172.67.144.164,80,fakeip3
bay.uchicago.edu,128.135.20.9,80,fakeip1
list3.ppstream.com.iqiyi.com,118.26.120.3,80,fakeip3
