"domain","cntMalFQDNs","cntIP","cntFQDN","sumMalEng","maxMalEng","avgMalEng","minMalEng","maxCisco","minCisco","avgCisco","sumMal","maxMal","minMal","avgMal"
"eset.com","","1","1","0","","","","0.997212","0.997212","0.997212","0","","",""
"msn.com","","2","3","0","","","","0.815039","0.0","0.4910103333333333","0","","",""
"msn.com","","2","3","0","","","","0.815039","0.0","0.4910103333333333","0","","",""
"msn.com","","2","3","0","","","","0.815039","0.0","0.4910103333333333","0","","",""
"kicker.de","","1","1","0","","","","0.061981","0.061981","0.061981","0","","",""
"microsoft.com","","2","2","0","","","","0.999912","0.953803","0.9768574999999999","0","","",""
"microsoft.com","","2","2","0","","","","0.999912","0.953803","0.9768574999999999","0","","",""
"qq.com","1","3","3","1","1","1.0","1","0.998734","0.995331","0.99659","1.0","1.0","1.0","1.0"
"qq.com","1","3","3","1","1","1.0","1","0.998734","0.995331","0.99659","1.0","1.0","1.0","1.0"
"qq.com","1","3","3","1","1","1.0","1","0.998734","0.995331","0.99659","1.0","1.0","1.0","1.0"
"centralll.com","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"engagephd.com","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"shoptowin.net","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"xilinx.com","","1","1","0","","","","0.938075","0.938075","0.938075","0","","",""
"15dfjkbvdf.club","1","1","1","3","3","3.0","3","0.690024","0.690024","0.690024","3.0","3.0","3.0","3.0"
"tambovnet.org","","1","1","0","","","","0.801927","0.801927","0.801927","0","","",""
"dabaraw.com","1","1","1","1","1","1.0","1","0.613824","0.613824","0.613824","1.0","1.0","1.0","1.0"
"hpe.com","","1","1","0","","","","0.783013","0.783013","0.783013","0","","",""
"huion.cn","","1","1","0","","","","0.708072","0.708072","0.708072","0","","",""
"onmicrosoft.com","","1","1","0","","","","0.0","0.0","0.0","0","","",""
"ksmobile.com","","1","1","0","","","","0.985803","0.985803","0.985803","0","","",""
"ludashi.com","","1","1","0","","","","0.98873","0.98873","0.98873","0","","",""
