"ip","cntMalDom","cntDom","sumIPDomMalEng","maxIPDomMalEng","minIPDomMalEng","avgIPDomMalEng","maxIPDomCisco","minIPDomCisco","avgIPDomCisco","sumIPMalDom","maxIPMalDom","avgIPMalDom","minIPMalDom","mMaxIPMalDom"
"38.90.226.36","","1","0","","","","0.997212","0.997212","0.997212","0","","","",""
"13.82.28.61","","1","0","","","","0.4910103333333333","0.4910103333333333","0.4910103333333333","0","","","",""
"104.69.219.202","","1","0","","","","0.4910103333333333","0.4910103333333333","0.4910103333333333","0","","","",""
"52.85.132.58","","1","0","","","","0.061981","0.061981","0.061981","0","","","",""
"104.129.195.18","","1","0","","","","0.9768574999999999","0.9768574999999999","0.9768574999999999","0","","","",""
"23.221.72.33","","1","0","","","","0.9768574999999999","0.9768574999999999","0.9768574999999999","0","","","",""
"203.205.219.54","1","1","1.0","1.0","1.0","1.0","0.99659","0.99659","0.99659","1.0","1.0","1.0","1.0","1.0"
"203.205.219.244","1","2","1.0","1.0","1.0","1.0","0.99659","0.0","0.498295","1.0","1.0","1.0","1.0","1.0"
"129.226.103.140","1","1","1.0","1.0","1.0","1.0","0.99659","0.99659","0.99659","1.0","1.0","1.0","1.0","1.0"
"104.18.186.242","","1","0","","","","0.0","0.0","0.0","0","","","",""
"104.239.186.96","","1","0","","","","0.0","0.0","0.0","0","","","",""
"69.162.80.57","","1","0","","","","0.0","0.0","0.0","0","","","",""
"104.112.36.219","","1","0","","","","0.938075","0.938075","0.938075","0","","","",""
"188.72.236.136","1","1","3.0","3.0","3.0","3.0","0.690024","0.690024","0.690024","3.0","3.0","3.0","3.0","3.0"
"94.19.162.211","","1","0","","","","0.801927","0.801927","0.801927","0","","","",""
"34.196.81.124","1","1","1.0","1.0","1.0","1.0","0.613824","0.613824","0.613824","1.0","1.0","1.0","1.0","1.0"
"15.249.152.85","","1","0","","","","0.783013","0.783013","0.783013","0","","","",""
"47.96.81.96","","1","0","","","","0.708072","0.708072","0.708072","0","","","",""
"52.96.90.40","","1","0","","","","0.0","0.0","0.0","0","","","",""
"111.230.117.40","","1","0","","","","0.985803","0.985803","0.985803","0","","","",""
"58.218.203.241","","1","0","","","","0.98873","0.98873","0.98873","0","","","",""
"23.221.75.177","","1","0","","","","0.99752","0.99752","0.99752","0","","","",""
"52.85.132.8","","1","0","","","","0.0","0.0","0.0","0","","","",""
"208.85.42.32","","1","0","","","","0.9906865","0.9906865","0.9906865","0","","","",""
"208.85.42.21","","1","0","","","","0.9906865","0.9906865","0.9906865","0","","","",""
"52.77.123.80","","1","0","","","","0.86103","0.86103","0.86103","0","","","",""
"157.185.177.205","","1","0","","","","0.86103","0.86103","0.86103","0","","","",""
"69.20.59.73","1","1","1.0","1.0","1.0","1.0","0.935503","0.935503","0.935503","1.0","1.0","1.0","1.0","1.0"
"101.32.133.53","","1","0","","","","0.99267","0.99267","0.99267","0","","","",""
"54.83.234.161","","1","0","","","","0.64894","0.64894","0.64894","0","","","",""
"192.101.102.2","","1","0","","","","0.0","0.0","0.0","0","","","",""
"172.67.10.192","","1","0","","","","0.484833","0.484833","0.484833","0","","","",""
"111.206.209.80","","1","0","","","","0.987324","0.987324","0.987324","0","","","",""
"205.140.221.32","","1","0","","","","0.0","0.0","0.0","0","","","",""
"34.102.169.19","","1","0","","","","0.667674","0.667674","0.667674","0","","","",""
"95.217.161.135","","1","0","","","","0.954701","0.954701","0.954701","0","","","",""
"96.126.119.160","","1","0","","","","0.265956","0.265956","0.265956","0","","","",""
"167.71.154.128","","1","0","","","","0.613396","0.613396","0.613396","0","","","",""
"154.127.54.46","","1","0","","","","0.0","0.0","0.0","0","","","",""
"44.236.215.95","","1","0","","","","0.0","0.0","0.0","0","","","",""
"106.14.21.193","","1","0","","","","0.355134","0.355134","0.355134","0","","","",""
"38.105.93.109","","1","0","","","","0.810775","0.810775","0.810775","0","","","",""
"198.11.132.221","","1","0","","","","0.995501","0.995501","0.995501","0","","","",""
"23.221.75.153","","1","0","","","","0.937486","0.937486","0.937486","0","","","",""
"45.136.240.225","","1","0","","","","0.0","0.0","0.0","0","","","",""
"176.32.98.203","","1","0","","","","0.980074","0.980074","0.980074","0","","","",""
"218.12.76.163","","1","0","","","","0.981222","0.981222","0.981222","0","","","",""
"208.87.234.202","","1","0","","","","1.0","1.0","1.0","0","","","",""
"1.192.193.117","","1","0","","","","0.985171","0.985171","0.985171","0","","","",""
"180.163.249.53","","1","0","","","","0.985171","0.985171","0.985171","0","","","",""
"180.163.230.211","","1","0","","","","0.985171","0.985171","0.985171","0","","","",""
"36.110.235.8","","1","0","","","","0.985171","0.985171","0.985171","0","","","",""
"157.185.146.132","","1","0","","","","0.744137","0.744137","0.744137","0","","","",""
"3.222.35.82","","1","0","","","","0.0","0.0","0.0","0","","","",""
"104.106.9.181","","1","0","","","","0.803473","0.803473","0.803473","0","","","",""
"104.16.114.12","","1","0","","","","0.958885","0.958885","0.958885","0","","","",""
"221.228.75.123","1","1","1.0","1.0","1.0","1.0","0.9611780000000001","0.9611780000000001","0.9611780000000001","1.0","1.0","1.0","1.0","1.0"
