host,id_resp_h,id_resp_p,cisco_score,logday,domain,isIP
pico.eset.com,38.90.226.36,80,0.997212,2021-03-30,eset.com,0
weather.service.msn.com,104.69.219.202,80,0.0,2021-03-30,msn.com,0
ovsyndication.kicker.de,52.85.132.58,80,0.061981,2021-03-30,kicker.de,0
forefrontdl.microsoft.com,23.221.72.33,80,0.953803,2021-03-30,microsoft.com,0
syzs.qq.com,129.226.103.140,80,0.995331,2021-03-30,qq.com,0
www.centralll.com,104.18.186.242,80,0.0,2021-03-30,centralll.com,0
uploads.engagephd.com,104.239.186.96,80,0.0,2021-03-30,engagephd.com,0
xml.shoptowin.net,69.162.80.57,80,0.0,2021-03-30,shoptowin.net,0
www.xilinx.com,104.112.36.219,80,0.938075,2021-03-30,xilinx.com,0
15dfjkbvdf.club,188.72.236.136,80,0.690024,2021-03-30,15dfjkbvdf.club,0
tracker.tambovnet.org,94.19.162.211,80,0.801927,2021-03-30,tambovnet.org,0
st.dabaraw.com,34.196.81.124,80,0.613824,2021-03-30,dabaraw.com,0
vibsdepot.hpe.com,15.249.152.85,80,0.783013,2021-03-30,hpe.com,0
wx.huion.cn,47.96.81.96,80,0.708072,2021-03-30,huion.cn,0
autodiscover.darden44.onmicrosoft.com,52.96.90.40,80,0.0,2021-03-30,onmicrosoft.com,0
helpdubaclient.ksmobile.com,111.230.117.40,80,0.985803,2021-03-30,ksmobile.com,0
cdn-file.ludashi.com,58.218.203.241,80,0.98873,2021-03-30,ludashi.com,0
clientconfig.akamai.steamstatic.com,23.221.75.177,80,0.99752,2021-03-30,steamstatic.com,0
d3h5bk8iotgjvw.cloudfront.net,52.85.132.8,80,0.0,2021-03-30,cloudfront.net,0
cont-1.p-cdn.us,208.85.42.32,80,0.991319,2021-03-30,p-cdn.us,0
onmyoji.fp.ps.netease.com,157.185.177.205,80,0.792121,2021-03-30,netease.com,0
dl2.acronis.com,69.20.59.73,80,0.935503,2021-03-30,acronis.com,0
sgminorshort.wechat.com,101.32.133.53,80,0.99267,2021-03-30,wechat.com,0
activation.vectorworks.net,54.83.234.161,80,0.64894,2021-03-30,vectorworks.net,0
mirror.pnl.gov,192.101.102.2,80,0.0,2021-03-30,pnl.gov,0
rss.msnbc.msn.com,13.82.28.61,80,0.815039,2021-03-30,msn.com,0
static.monosnap.com,172.67.10.192,80,0.484833,2021-03-30,monosnap.com,0
diskapi.baidu.com,111.206.209.80,80,0.987324,2021-03-30,baidu.com,0
vsuite.omnicell.com,205.140.221.32,80,0.0,2021-03-30,omnicell.com,0
mlb.am,34.102.169.19,80,0.667674,2021-03-30,mlb.am,0
tracker.lelux.fi,95.217.161.135,80,0.954701,2021-03-30,lelux.fi,0
server.livingearthapp.com,96.126.119.160,80,0.265956,2021-03-30,livingearthapp.com,0
upgrade.actiontec.com,167.71.154.128,80,0.613396,2021-03-30,actiontec.com,0
iBoot.co,154.127.54.46,80,0.0,2021-03-30,iBoot.co,0
gmaapi.365retailmarkets.com,44.236.215.95,80,0.0,2021-03-30,365retailmarkets.com,0
todolist.redirect.xzdesktop.cqttech.com,106.14.21.193,80,0.355134,2021-03-30,cqttech.com,0
mirror.ette.biz,38.105.93.109,80,0.810775,2021-03-30,ette.biz,0
cnzz.mmstat.com,198.11.132.221,80,0.995501,2021-03-30,mmstat.com,0
primary.hls-streaming.production.streaming.siriusxm.com,23.221.75.153,80,0.937486,2021-03-30,siriusxm.com,0
a1trjju9lgpi83-ats.iot.us-east-1.amazonaws.com,45.136.240.225,443,0.0,2021-03-30,amazonaws.com,0
www.msnbc.msn.com,13.82.28.61,80,0.657992,2021-03-30,msn.com,0
kindle-time.amazon.com,176.32.98.203,80,0.980074,2021-03-30,amazon.com,0
duba-defend.zhhainiao.com,218.12.76.163,80,0.981222,2021-03-30,zhhainiao.com,0
google.com,208.87.234.202,8081,1.0,2021-03-30,google.com,0
task.browser.360.cn,36.110.235.8,80,0.969484,2021-03-30,360.cn,0
img2.chinadaily.com.cn,157.185.146.132,80,0.744137,2021-03-30,chinadaily.com.cn,0
http.00.h.sophosxl.net,3.222.35.82,80,0.0,2021-03-30,sophosxl.net,0
api.wunderground.com,104.106.9.181,80,0.803473,2021-03-30,wunderground.com,0
ical-cdn.teamsnap.com,104.16.114.12,80,0.958885,2021-03-30,teamsnap.com,0
tconf2.f.360.cn,1.192.193.117,80,0.990587,2021-03-30,360.cn,0
push.khd.2345.cc,221.228.75.123,80,0.972457,2021-03-30,2345.cc,0
ncps-va.powerschool.com,45.60.12.165,80,0.0,2021-03-30,powerschool.com,0
optsdk.gameyw.netease.com,52.77.123.80,80,0.929939,2021-03-30,netease.com,0
dlassets.xboxlive.com,23.221.72.51,80,0.978719,2021-03-30,xboxlive.com,0
feed2ical.appspot.com,172.217.2.116,80,0.0,2021-03-30,appspot.com,0
cdn.ap.bittorrent.com,69.28.157.216,80,0.990662,2021-03-30,bittorrent.com,0
r3---sn-p5qs7nsk.gvt1.com,74.125.155.136,80,0.383701,2021-03-30,gvt1.com,0
astat.bugly.qq.com,203.205.219.244,8011,0.995705,2021-03-30,qq.com,0
www.horosproject.org,52.52.60.36,80,0.0,2021-03-30,horosproject.org,0
speedtest-zion.fireflyva.com,205.220.232.141,8080,0.0,2021-03-30,fireflyva.com,0
gfwsl.geforce.com,152.195.53.31,80,0.99616,2021-03-30,geforce.com,0
www.bricksball.com,3.133.107.204,80,0.795711,2021-03-30,bricksball.com,0
mirror.datto.com,162.244.87.58,80,0.831702,2021-03-30,datto.com,0
110.43.89.12,110.43.89.12,80,0.0,2021-03-30,110.43.89.12,0
switch1.pcfg.cache.wpscdn.com,47.246.44.229,80,0.987444,2021-03-30,wpscdn.com,0
d.skconf.f.360.cn,180.163.230.211,80,0.990555,2021-03-30,360.cn,0
api.winzip.com,34.206.49.201,80,0.986397,2021-03-30,winzip.com,0
pubmirror1.math.uh.edu,129.7.128.189,80,0.864724,2021-03-30,uh.edu,0
yum.puppetlabs.com,13.32.181.77,80,0.729156,2021-03-30,puppetlabs.com,0
ad.adsrvr.org,99.84.218.36,80,0.997432,2021-03-30,adsrvr.org,0
104.192.108.134,104.192.108.134,80,0.0,2021-03-30,104.192.108.134,0
mirrors.rit.edu,129.21.171.72,80,0.820533,2021-03-30,rit.edu,0
ps1.es.net,198.128.151.17,8096,0.520011,2021-03-30,es.net,0
ip-info.ff.avast.com,5.62.44.238,80,0.998527,2021-03-30,avast.com,0
annals.org,104.21.19.167,80,0.374054,2021-03-30,annals.org,0
config.teams.microsoft.com,104.129.195.18,443,0.999912,2021-03-30,microsoft.com,0
t1-5.p-cdn.us,208.85.42.21,80,0.990054,2021-03-30,p-cdn.us,0
wdl1.pcfg.cache.wpscdn.com,35.241.26.54,80,0.9922,2021-03-30,wpscdn.com,0
img1.pcfg.cache.wpscdn.cn,58.215.158.238,80,0.982301,2021-03-30,wpscdn.cn,0
qbwup.imtt.qq.com,203.205.219.54,80,0.998734,2021-03-30,qq.com,0
imasdk.googleapis.com,172.217.5.234,80,0.999608,2021-03-30,googleapis.com,0
203.205.219.244,203.205.219.244,80,0.0,2021-03-30,203.205.219.244,0
ensight.bondtech.com,147.0.119.147,80,0.0,2021-03-30,bondtech.com,0
prnewswire.d2.sc.omtrdc.net,18.206.109.10,80,0.0,2021-03-30,omtrdc.net,0
li.wayfair.com,23.221.75.154,80,0.901122,2021-03-30,wayfair.com,0
104.104.90.50,104.104.90.50,80,0.0,2021-03-30,104.104.90.50,0
ocsp.geotrust.com,23.54.187.27,80,0.817399,2021-03-30,geotrust.com,0
v4.ipv6-test.com,51.75.78.103,80,0.785632,2021-03-30,ipv6-test.com,0
search.nejm.org,99.86.186.18,80,0.0,2021-03-30,nejm.org,0
edge.quantserve.com,192.184.68.216,80,0.98508,2021-03-30,quantserve.com,0
lolesports.com,99.84.98.54,80,0.987426,2021-03-30,lolesports.com,0
ts.minipage.2345.cc,180.163.56.219,80,0.949899,2021-03-30,2345.cc,0
repos.forethought.net,206.124.13.171,80,0.867957,2021-03-30,forethought.net,0
uapi.mp.360.cn,180.163.249.53,80,0.990058,2021-03-30,360.cn,0
print-screen.us,52.218.204.243,80,0.955025,2021-03-30,print-screen.us,0
x8960797.iavs9x.avg.u.avcdn.net,23.221.72.43,80,0.924531,2021-03-30,avcdn.net,0
siteimproveanalytics.com,172.64.172.12,80,0.995706,2021-03-30,siteimproveanalytics.com,0
www.gamepk.us,172.67.144.164,80,0.831493,2021-03-30,gamepk.us,0
bay.uchicago.edu,128.135.20.9,80,0.840967,2021-03-30,uchicago.edu,0
list3.ppstream.com.iqiyi.com,118.26.120.3,80,0.973338,2021-03-30,iqiyi.com,0
