per,std,omt,acc,method
600,0,0.0,1.0,STATS-BASED
600,0,0.0,1.0,UPNSCA
600,0,0.0,1.0,BAYWATCH
600,0,0.0,1.0,Our Proposed
600,2,0.0,0.0,STATS-BASED
600,2,0.0,0.0,UPNSCA
600,2,0.0,1.0,BAYWATCH
600,2,0.0,1.0,Our Proposed
600,4,0.0,0.0,STATS-BASED
600,4,0.0,0.0,UPNSCA
600,4,0.0,1.0,BAYWATCH
600,4,0.0,1.0,Our Proposed
600,6,0.0,0.0,STATS-BASED
600,6,0.0,0.0,UPNSCA
600,6,0.0,1.0,BAYWATCH
600,6,0.0,1.0,Our Proposed
600,8,0.0,0.0,STATS-BASED
600,8,0.0,0.0,UPNSCA
600,8,0.0,1.0,BAYWATCH
600,8,0.0,1.0,Our Proposed
600,10,0.0,0.0,STATS-BASED
600,10,0.0,0.0,UPNSCA
600,10,0.0,0.91,BAYWATCH
600,10,0.0,1.0,Our Proposed
600,12,0.0,0.0,STATS-BASED
600,12,0.0,0.0,UPNSCA
600,12,0.0,0.84,BAYWATCH
600,12,0.0,1.0,Our Proposed
600,14,0.0,0.0,STATS-BASED
600,14,0.0,0.0,UPNSCA
600,14,0.0,0.86,BAYWATCH
600,14,0.0,1.0,Our Proposed
600,16,0.0,0.0,STATS-BASED
600,16,0.0,0.0,UPNSCA
600,16,0.0,0.72,BAYWATCH
600,16,0.0,1.0,Our Proposed
600,18,0.0,0.0,STATS-BASED
600,18,0.0,0.0,UPNSCA
600,18,0.0,0.69,BAYWATCH
600,18,0.0,1.0,Our Proposed
600,20,0.0,0.0,STATS-BASED
600,20,0.0,0.0,UPNSCA
600,20,0.0,0.69,BAYWATCH
600,20,0.0,0.96,Our Proposed
600,22,0.0,0.0,STATS-BASED
600,22,0.0,0.0,UPNSCA
600,22,0.0,0.58,BAYWATCH
600,22,0.0,0.98,Our Proposed
600,24,0.0,0.0,STATS-BASED
600,24,0.0,0.0,UPNSCA
600,24,0.0,0.5,BAYWATCH
600,24,0.0,0.78,Our Proposed
600,26,0.0,0.0,STATS-BASED
600,26,0.0,0.0,UPNSCA
600,26,0.0,0.4,BAYWATCH
600,26,0.0,0.74,Our Proposed
600,28,0.0,0.0,STATS-BASED
600,28,0.0,0.0,UPNSCA
600,28,0.0,0.16,BAYWATCH
600,28,0.0,0.57,Our Proposed
600,30,0.0,0.0,STATS-BASED
600,30,0.0,0.0,UPNSCA
600,30,0.0,0.04,BAYWATCH
600,30,0.0,0.6,Our Proposed
600,32,0.0,0.0,STATS-BASED
600,32,0.0,0.0,UPNSCA
600,32,0.0,0.02,BAYWATCH
600,32,0.0,0.62,Our Proposed
600,34,0.0,0.0,STATS-BASED
600,34,0.0,0.0,UPNSCA
600,34,0.0,0.01,BAYWATCH
600,34,0.0,0.61,Our Proposed
600,36,0.0,0.0,STATS-BASED
600,36,0.0,0.0,UPNSCA
600,36,0.0,0.01,BAYWATCH
600,36,0.0,0.58,Our Proposed
600,38,0.0,0.0,STATS-BASED
600,38,0.0,0.0,UPNSCA
600,38,0.0,0.01,BAYWATCH
600,38,0.0,0.67,Our Proposed
600,40,0.0,0.0,STATS-BASED
600,40,0.0,0.0,UPNSCA
600,40,0.0,0.0,BAYWATCH
600,40,0.0,0.62,Our Proposed
600,42,0.0,0.0,STATS-BASED
600,42,0.0,0.0,UPNSCA
600,42,0.0,0.0,BAYWATCH
600,42,0.0,0.59,Our Proposed
600,44,0.0,0.0,STATS-BASED
600,44,0.0,0.0,UPNSCA
600,44,0.0,0.0,BAYWATCH
600,44,0.0,0.5,Our Proposed
600,46,0.0,0.0,STATS-BASED
600,46,0.0,0.0,UPNSCA
600,46,0.0,0.0,BAYWATCH
600,46,0.0,0.42,Our Proposed
600,48,0.0,0.0,STATS-BASED
600,48,0.0,0.0,UPNSCA
600,48,0.0,0.0,BAYWATCH
600,48,0.0,0.31,Our Proposed
600,50,0.0,0.0,STATS-BASED
600,50,0.0,0.0,UPNSCA
600,50,0.0,0.02,BAYWATCH
600,50,0.0,0.37,Our Proposed
