per,std,omt,acc,method
600,0,0.0,1.0,RobustPeriod
600,2,0.0,1.0,RobustPeriod
600,4,0.0,1.0,RobustPeriod
600,6,0.0,1.0,RobustPeriod
600,8,0.0,1.0,RobustPeriod
600,10,0.0,0.39,RobustPeriod
600,12,0.0,0.05,RobustPeriod
600,14,0.0,0.0,RobustPeriod
600,16,0.0,0.0,RobustPeriod
600,18,0.0,0.0,RobustPeriod
600,20,0.0,0.0,RobustPeriod
600,22,0.0,0.0,RobustPeriod
600,24,0.0,0.01,RobustPeriod
600,26,0.0,0.0,RobustPeriod
600,28,0.0,0.01,RobustPeriod
600,30,0.0,0.01,RobustPeriod
600,32,0.0,0.02,RobustPeriod
600,34,0.0,0.02,RobustPeriod
600,36,0.0,0.03,RobustPeriod
600,38,0.0,0.03,RobustPeriod
600,40,0.0,0.02,RobustPeriod
600,42,0.0,0.04,RobustPeriod
600,44,0.0,0.03,RobustPeriod
600,46,0.0,0.05,RobustPeriod
600,48,0.0,0.07,RobustPeriod
600,50,0.0,0.1,RobustPeriod
