per,std,inst,acc,method
600,0.0,0,1.0,STATS-BASED
600,0.0,0,1.0,UPNSCA
600,0.0,0,1.0,BAYWATCH
600,0.0,0,1.0,Our Proposed
600,0.0,2,1.0,STATS-BASED
600,0.0,2,0.0,UPNSCA
600,0.0,2,1.0,BAYWATCH
600,0.0,2,1.0,Our Proposed
600,0.0,4,1.0,STATS-BASED
600,0.0,4,0.0,UPNSCA
600,0.0,4,1.0,BAYWATCH
600,0.0,4,1.0,Our Proposed
600,0.0,6,1.0,STATS-BASED
600,0.0,6,0.0,UPNSCA
600,0.0,6,1.0,BAYWATCH
600,0.0,6,1.0,Our Proposed
600,0.0,8,1.0,STATS-BASED
600,0.0,8,0.0,UPNSCA
600,0.0,8,1.0,BAYWATCH
600,0.0,8,1.0,Our Proposed
600,0.0,10,0.0,STATS-BASED
600,0.0,10,0.0,UPNSCA
600,0.0,10,0.0,BAYWATCH
600,0.0,10,1.0,Our Proposed
600,0.0,12,0.0,STATS-BASED
600,0.0,12,0.0,UPNSCA
600,0.0,12,0.0,BAYWATCH
600,0.0,12,1.0,Our Proposed
600,0.0,14,0.0,STATS-BASED
600,0.0,14,0.0,UPNSCA
600,0.0,14,0.1,BAYWATCH
600,0.0,14,1.0,Our Proposed
600,0.0,16,0.0,STATS-BASED
600,0.0,16,0.0,UPNSCA
600,0.0,16,0.89,BAYWATCH
600,0.0,16,1.0,Our Proposed
600,0.0,18,0.0,STATS-BASED
600,0.0,18,0.0,UPNSCA
600,0.0,18,1.0,BAYWATCH
600,0.0,18,1.0,Our Proposed
600,0.0,20,0.0,STATS-BASED
600,0.0,20,0.0,UPNSCA
600,0.0,20,1.0,BAYWATCH
600,0.0,20,1.0,Our Proposed
