per,std,omt,acc,method
600,0.0,0,1.0,STATS-BASED
600,0.0,0,1.0,UPNSCA
600,0.0,0,1.0,BAYWATCH
600,0.0,0,1.0,Our Proposed
600,0.0,5,0.0,STATS-BASED
600,0.0,5,0.09,UPNSCA
600,0.0,5,0.12,BAYWATCH
600,0.0,5,1.0,Our Proposed
600,0.0,10,0.0,STATS-BASED
600,0.0,10,0.0,UPNSCA
600,0.0,10,0.0,BAYWATCH
600,0.0,10,1.0,Our Proposed
600,0.0,15,0.0,STATS-BASED
600,0.0,15,0.0,UPNSCA
600,0.0,15,0.0,BAYWATCH
600,0.0,15,1.0,Our Proposed
600,0.0,20,0.0,STATS-BASED
600,0.0,20,0.0,UPNSCA
600,0.0,20,0.0,BAYWATCH
600,0.0,20,1.0,Our Proposed
600,0.0,25,0.0,STATS-BASED
600,0.0,25,0.0,UPNSCA
600,0.0,25,0.0,BAYWATCH
600,0.0,25,1.0,Our Proposed
600,0.0,30,0.0,STATS-BASED
600,0.0,30,0.0,UPNSCA
600,0.0,30,0.0,BAYWATCH
600,0.0,30,1.0,Our Proposed
600,0.0,35,0.0,STATS-BASED
600,0.0,35,0.0,UPNSCA
600,0.0,35,0.0,BAYWATCH
600,0.0,35,1.0,Our Proposed
600,0.0,40,0.0,STATS-BASED
600,0.0,40,0.0,UPNSCA
600,0.0,40,0.0,BAYWATCH
600,0.0,40,1.0,Our Proposed
600,0.0,45,0.0,STATS-BASED
600,0.0,45,0.0,UPNSCA
600,0.0,45,0.0,BAYWATCH
600,0.0,45,1.0,Our Proposed
600,0.0,50,0.0,STATS-BASED
600,0.0,50,0.0,UPNSCA
600,0.0,50,0.0,BAYWATCH
600,0.0,50,1.0,Our Proposed
600,0.0,55,0.0,STATS-BASED
600,0.0,55,0.0,UPNSCA
600,0.0,55,0.0,BAYWATCH
600,0.0,55,1.0,Our Proposed
600,0.0,60,0.0,STATS-BASED
600,0.0,60,0.0,UPNSCA
600,0.0,60,0.0,BAYWATCH
600,0.0,60,1.0,Our Proposed
600,0.0,65,0.0,STATS-BASED
600,0.0,65,0.0,UPNSCA
600,0.0,65,0.0,BAYWATCH
600,0.0,65,1.0,Our Proposed
600,0.0,70,0.0,STATS-BASED
600,0.0,70,0.0,UPNSCA
600,0.0,70,0.0,BAYWATCH
600,0.0,70,1.0,Our Proposed
600,0.0,75,0.0,STATS-BASED
600,0.0,75,0.0,UPNSCA
600,0.0,75,0.0,BAYWATCH
600,0.0,75,1.0,Our Proposed
600,0.0,80,0.0,STATS-BASED
600,0.0,80,0.0,UPNSCA
600,0.0,80,0.0,BAYWATCH
600,0.0,80,0.99,Our Proposed
600,0.0,85,0.0,STATS-BASED
600,0.0,85,0.0,UPNSCA
600,0.0,85,0.0,BAYWATCH
600,0.0,85,0.92,Our Proposed
600,0.0,90,0.0,STATS-BASED
600,0.0,90,0.0,UPNSCA
600,0.0,90,0.05,BAYWATCH
600,0.0,90,0.74,Our Proposed
600,0.0,95,0.03,STATS-BASED
600,0.0,95,0.0,UPNSCA
600,0.0,95,0.11,BAYWATCH
600,0.0,95,0.28,Our Proposed
600,0.0,100,0.0,STATS-BASED
600,0.0,100,0.0,UPNSCA
600,0.0,100,0.0,BAYWATCH
600,0.0,100,0.0,Our Proposed
