per,std,omt,acc,method
600,0.0,0,1.0,RobustPeriod
600,0.0,5,1.0,RobustPeriod
600,0.0,10,1.0,RobustPeriod
600,0.0,15,1.0,RobustPeriod
600,0.0,20,1.0,RobustPeriod
600,0.0,25,1.0,RobustPeriod
600,0.0,30,1.0,RobustPeriod
600,0.0,35,1.0,RobustPeriod
600,0.0,40,1.0,RobustPeriod
600,0.0,45,1.0,RobustPeriod
600,0.0,50,1.0,RobustPeriod
600,0.0,55,1.0,RobustPeriod
600,0.0,60,1.0,RobustPeriod
600,0.0,65,0.99,RobustPeriod
600,0.0,70,0.96,RobustPeriod
600,0.0,75,0.85,RobustPeriod
600,0.0,80,0.46,RobustPeriod
600,0.0,85,0.19,RobustPeriod
600,0.0,90,0.3,RobustPeriod
600,0.0,95,0.42,RobustPeriod
600,0.0,100,0.0,RobustPeriod
3600,0.0,0,1.0,RobustPeriod
3600,0.0,5,1.0,RobustPeriod
3600,0.0,10,1.0,RobustPeriod
3600,0.0,15,0.98,RobustPeriod
3600,0.0,20,0.91,RobustPeriod
3600,0.0,25,0.79,RobustPeriod
3600,0.0,30,0.65,RobustPeriod
3600,0.0,35,0.48,RobustPeriod
3600,0.0,40,0.46,RobustPeriod
3600,0.0,45,0.4,RobustPeriod
3600,0.0,50,0.43,RobustPeriod
3600,0.0,55,0.36,RobustPeriod
3600,0.0,60,0.46,RobustPeriod
3600,0.0,65,0.55,RobustPeriod
3600,0.0,70,0.47,RobustPeriod
3600,0.0,75,0.55,RobustPeriod
3600,0.0,80,0.62,RobustPeriod
3600,0.0,85,0.55,RobustPeriod
3600,0.0,90,0.35,RobustPeriod
3600,0.0,95,0.05,RobustPeriod
3600,0.0,100,0.0,RobustPeriod
